threshold,precision,recall,accuracy,predicted_positives,model
0.05,0.124109809326901,0.9515631880228974,0.23283224292064125,17412,xgboost_spw_1.00
0.06,0.13196668802049968,0.9070893879348305,0.31274034859911104,15610,xgboost_spw_1.00
0.07,0.14014577469870823,0.8551298987230295,0.3885032212955102,13857,xgboost_spw_1.00
0.08,0.14868660168511483,0.7926023778071334,0.46176896568945713,12106,xgboost_spw_1.00
0.09,0.15820867259988639,0.7357992073976222,0.5259951056285272,10562,xgboost_spw_1.00
0.09999999999999999,0.16930693069306932,0.6776750330250991,0.5863257254157719,9090,xgboost_spw_1.00
0.10999999999999999,0.17632146026112308,0.6125055041831792,0.6315237476901563,7889,xgboost_spw_1.00
0.12,0.18701837581505631,0.555702333773668,0.6756230335114618,6748,xgboost_spw_1.00
0.13,0.19902149222435786,0.5015411712901805,0.7145282924636668,5723,xgboost_spw_1.00
0.13999999999999999,0.21042830540037244,0.4478203434610304,0.746791190131349,4833,xgboost_spw_1.00
0.14999999999999997,0.22230320699708456,0.40290620871862615,0.7724117265145083,4116,xgboost_spw_1.00
0.15999999999999998,0.23092142453363482,0.35975341259357113,0.791489786745243,3538,xgboost_spw_1.00
0.16999999999999998,0.2455789122455789,0.3240863055922501,0.8104180192778305,2997,xgboost_spw_1.00
0.18,0.2587141750580945,0.29414354909731394,0.8243519952055136,2582,xgboost_spw_1.00
0.19,0.2720254314259764,0.2637604579480405,0.8364380961893823,2202,xgboost_spw_1.00
0.19999999999999996,0.2798955613577023,0.23601937472479084,0.8444788493232782,1915,xgboost_spw_1.00
0.20999999999999996,0.29607250755287007,0.21576398062527521,0.8528692004195175,1655,xgboost_spw_1.00
0.21999999999999997,0.30097087378640774,0.19110523998238663,0.857913399590471,1442,xgboost_spw_1.00
0.22999999999999998,0.31230283911671924,0.17437252311756934,0.8628077710632772,1268,xgboost_spw_1.00
0.24,0.323868677905945,0.16072214883311317,0.8667532337811517,1127,xgboost_spw_1.00
0.24999999999999994,0.3333333333333333,0.14619110523998238,0.8699995005743395,996,xgboost_spw_1.00
0.25999999999999995,0.35083798882681566,0.13826508146191105,0.8732457673675273,895,xgboost_spw_1.00
0.26999999999999996,0.3617021276595745,0.12725671510347863,0.8755431254057834,799,xgboost_spw_1.00
0.27999999999999997,0.3651452282157676,0.11624834874504623,0.8768416321230584,723,xgboost_spw_1.00
0.29,0.3615023474178404,0.10171730515191546,0.8777405983119413,639,xgboost_spw_1.00
0.3,0.3712784588441331,0.09335094671950682,0.8792388752934126,571,xgboost_spw_1.00
0.30999999999999994,0.3893280632411067,0.08674592690444738,0.8809868651051291,506,xgboost_spw_1.00
0.31999999999999995,0.4065934065934066,0.08146191105239982,0.8823353143884533,455,xgboost_spw_1.00
0.32999999999999996,0.4139650872817955,0.07309555261999119,0.883134395445238,401,xgboost_spw_1.00
0.33999999999999997,0.4214876033057851,0.06737120211360634,0.8837337062378265,363,xgboost_spw_1.00
0.3499999999999999,0.4338461538461538,0.062087186261558784,0.8844329021625131,325,xgboost_spw_1.00
0.35999999999999993,0.4370629370629371,0.055041831792162044,0.8847825001248564,286,xgboost_spw_1.00
0.36999999999999994,0.4591439688715953,0.05195948921180097,0.885531638615592,257,xgboost_spw_1.00
0.37999999999999995,0.46382978723404256,0.0479964773227653,0.8857314088797883,235,xgboost_spw_1.00
0.38999999999999996,0.47058823529411764,0.04579480405107882,0.8859311791439844,221,xgboost_spw_1.00
0.3999999999999999,0.48258706467661694,0.04271246147071774,0.8862308345402787,201,xgboost_spw_1.00
0.4099999999999999,0.49171270718232046,0.039189784236019376,0.8864306048044749,181,xgboost_spw_1.00
0.41999999999999993,0.5212121212121212,0.03786878027300748,0.8869300304649653,165,xgboost_spw_1.00
0.42999999999999994,0.5273972602739726,0.033905768383971815,0.8869799730310143,146,xgboost_spw_1.00
0.43999999999999995,0.553030303030303,0.032144429766622636,0.8872796284273086,132,xgboost_spw_1.00
0.4499999999999999,0.5655737704918032,0.03038309114927345,0.8873795135594067,122,xgboost_spw_1.00
0.4599999999999999,0.5663716814159292,0.028181417877586965,0.8873295709933576,113,xgboost_spw_1.00
0.4699999999999999,0.5784313725490197,0.025979744605900485,0.8873795135594067,102,xgboost_spw_1.00
0.4799999999999999,0.5773195876288659,0.024658740642888595,0.8873295709933576,97,xgboost_spw_1.00
0.48999999999999994,0.5681818181818182,0.022016732716864818,0.8871797432952105,88,xgboost_spw_1.00
0.49999999999999994,0.5569620253164557,0.019374724790841038,0.8870299155970633,79,xgboost_spw_1.00
0.5099999999999999,0.5694444444444444,0.01805372082782915,0.8870798581631124,72,xgboost_spw_1.00
0.5199999999999999,0.5522388059701493,0.016292382210479964,0.8869300304649653,67,xgboost_spw_1.00
0.5299999999999999,0.5789473684210527,0.01453104359313078,0.8870299155970633,57,xgboost_spw_1.00
0.5399999999999999,0.5925925925925926,0.014090708938793483,0.8870798581631124,54,xgboost_spw_1.00
0.5499999999999999,0.5897435897435898,0.010127697049757816,0.8869300304649653,39,xgboost_spw_1.00
0.5599999999999999,0.6451612903225806,0.008806693086745927,0.8870299155970633,31,xgboost_spw_1.00
0.57,0.6896551724137931,0.008806693086745927,0.8871298007291615,29,xgboost_spw_1.00
0.58,0.7083333333333334,0.007485689123734038,0.8870798581631124,24,xgboost_spw_1.00
0.59,0.6818181818181818,0.0066050198150594455,0.8869799730310143,22,xgboost_spw_1.00
0.6,0.6842105263157895,0.005724350506384853,0.8869300304649653,19,xgboost_spw_1.00
0.61,0.6470588235294118,0.0048436811977102595,0.8868301453328672,17,xgboost_spw_1.00
0.62,0.6666666666666666,0.004403346543372964,0.8868301453328672,15,xgboost_spw_1.00
0.63,0.6428571428571429,0.003963011889035667,0.8867802027668181,14,xgboost_spw_1.00
0.6399999999999999,0.6428571428571429,0.003963011889035667,0.8867802027668181,14,xgboost_spw_1.00
0.6499999999999999,0.6153846153846154,0.0035226772346983706,0.8867302602007691,13,xgboost_spw_1.00
